4
MAGICIAN,HEPLAYG1.PCX,4,2,7
BISHOP,HXBISHA1.PCX,2,4,10
CLERIC,HXCLERA1.PCX,4,3,9
ICEMAN,HXICEYA1.PCX,4,3,1
MAGICIAN,WALK,01,1,HEPLAYA1.PCX,HEPLAYA2A8.PCX,HEPLAYA3A7.PCX,HEPLAYA4A6.PCX,HEPLAYA5.PCX,HEPLAYA4A6.PCX,HEPLAYA3A7.PCX,HEPLAYA2A8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,WALK,02,1,HEPLAYB1.PCX,HEPLAYB2B8.PCX,HEPLAYB3B7.PCX,HEPLAYB4B6.PCX,HEPLAYB5.PCX,HEPLAYB4B6.PCX,HEPLAYB3B7.PCX,HEPLAYB2B8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,WALK,03,1,HEPLAYC1.PCX,HEPLAYC2C8.PCX,HEPLAYC3C7.PCX,HEPLAYC4C6.PCX,HEPLAYC5.PCX,HEPLAYC4C6.PCX,HEPLAYC3C7.PCX,HEPLAYC2C8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,WALK,04,1,HEPLAYD1.PCX,HEPLAYD2D8.PCX,HEPLAYD3D7.PCX,HEPLAYD4D6.PCX,HEPLAYD5.PCX,HEPLAYD4D6.PCX,HEPLAYD3D7.PCX,HEPLAYD2D8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,ATAK,01,1,HEPLAYE1.PCX,HEPLAYE2E8.PCX,HEPLAYE3E7.PCX,HEPLAYE4E6.PCX,HEPLAYE5.PCX,HEPLAYE4E6.PCX,HEPLAYE3E7.PCX,HEPLAYE2E8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,ATAK,02,1,HEPLAYF1.PCX,HEPLAYF2F8.PCX,HEPLAYF3F7.PCX,HEPLAYF4F6.PCX,HEPLAYF5.PCX,HEPLAYF4F6.PCX,HEPLAYF3F7.PCX,HEPLAYF2F8.PCX,0,0,0,0,0,1,1,1
MAGICIAN,DEAD,01,0,HEPLAYJ0.PCX,,,,,,,,0,0,0,0,0,0,0,0
MAGICIAN,DEAD,02,0,HEPLAYK0.PCX,,,,,,,,0,0,0,0,0,0,0,0
MAGICIAN,DEAD,03,0,HEPLAYL0.PCX,,,,,,,,0,0,0,0,0,0,0,0
MAGICIAN,DEAD,04,0,HEPLAYM0.PCX,,,,,,,,0,0,0,0,0,0,0,0
